t,x,y,z
20648,93,44,101
22254,95,41,103
23585,92,42,101
24891,93,43,101
26197,95,42,100
27504,94,44,100
28810,93,42,100
30117,94,42,99
31447,93,42,101
32754,94,42,101
-30452,94,40,101
-29097,93,41,102
-27787,93,42,101
-25145,95,41,101
-23795,91,44,103
-22464,95,42,102
-21119,93,42,102
-19774,93,41,101
-18408,94,42,100
-17074,94,42,101
-15760,93,42,99
-14448,94,42,99
-13138,94,44,100
-11776,93,42,103
-10467,95,42,102
-9167,93,42,100
-7867,94,42,100
-6533,94,41,99
-5208,94,41,99
-3908,93,42,101
-2607,93,41,100
-1305,93,42,102
1386,93,41,101
2717,91,42,103
4019,93,42,101
5322,92,44,100
6624,95,42,101
7926,95,42,101
9252,93,43,100
10555,94,42,101
11858,93,41,102
13161,93,42,102
14465,95,40,102
15770,94,44,101
17074,93,41,103
18446,96,41,100
19759,93,42,102
21065,93,43,101
22393,93,40,101
23698,93,42,101
25004,93,42,101
26311,92,41,101
27617,93,42,102
28924,93,42,100
30231,94,42,102
31538,92,42,102
-32690,93,42,102
-31383,94,41,100
-30053,93,43,102
-28745,95,42,101
-26116,93,43,102
-24765,94,41,100
-23335,93,42,102
-21962,96,42,100
-20617,95,42,100
-19274,93,42,100
-17940,94,42,101
-16626,92,42,103
-15292,92,43,100
-13981,93,42,100
-12578,93,43,101
-11234,94,42,104
-9934,94,43,101
-8634,92,42,101
-7334,93,42,100
-6033,95,42,101
-4733,95,42,101
-3432,92,41,100
-2108,92,42,99
-807,94,41,101
495,94,43,101
1797,93,42,102
3115,92,43,103
4422,92,42,101
5725,95,42,100
7027,93,42,101
8331,93,42,100
9634,93,42,100
10960,92,42,100
12264,92,42,103
13568,92,41,104
14872,92,42,101
16177,93,42,100
17482,93,43,102
18788,95,41,101
20094,93,42,102
21400,93,42,102
22706,93,41,102
24034,94,42,101
25341,94,42,103
26648,93,43,101
27970,93,41,100
29282,92,41,101
30590,95,42,100
31897,94,43,101
-32331,95,41,101
-31023,95,41,102
-28415,93,40,100
-27042,95,42,102
-25711,94,43,102
-24366,93,42,101
-23021,93,43,100
-21678,92,42,101
-20344,93,43,101
-19030,94,43,102
-17718,93,42,100
-16407,93,42,101
-15100,93,43,101
-13777,94,42,101
-12432,92,41,102
-10225,93,42,101
-8801,94,41,101
-7498,95,43,101
-6197,94,41,101
-4897,93,41,101
-3595,94,44,103
-2294,95,42,103
-992,93,42,103
332,94,41,102
1634,95,42,100
2936,95,40,101
4239,93,42,101
5542,92,43,100
6845,93,42,101
8148,93,42,101
9451,94,40,101
10845,94,42,101
12179,92,43,102
13525,95,42,102
14832,93,41,101
16137,92,41,102
17443,94,42,99
18749,95,42,102
21455,95,42,102
22856,93,42,102
24275,95,41,101
25622,93,43,103
26929,93,42,101
28258,94,42,101
29565,94,42,102
30873,93,42,100
32180,94,43,101
-32048,94,42,102
-30740,94,43,100
-28072,94,42,101
-26719,93,43,102
-25388,94,42,101
-24044,95,42,101
-22676,93,43,101
-21333,95,42,102
-19999,93,43,102
-18686,94,40,99
-17374,94,41,101
-16063,94,43,101
-14756,95,43,101
-13456,94,42,100
-12156,94,43,101
-10856,92,44,101
-9533,94,41,102
-8233,93,41,101
-6932,93,43,101
-5632,95,42,102
-4330,94,41,102
-3011,94,42,100
-1707,94,42,102
-406,94,41,101
897,94,42,102
2199,92,41,102
3523,92,41,101
4826,92,42,102
6129,94,42,101
7432,94,42,102
8736,95,43,99
10040,95,43,100
11344,93,43,101
12648,94,44,99
13952,94,42,103
15258,91,42,100
16586,95,44,101
17892,95,44,100
19197,95,43,99
20503,93,43,99
21861,92,42,102
23170,95,41,99
24477,95,43,101
25783,93,42,100
27091,94,44,100
28398,94,42,99
29728,95,43,101
31035,93,43,101
32343,94,44,100
-30596,94,41,100
-29245,93,44,100
-27914,92,42,101
-26569,93,42,101
-25225,93,45,99
-23881,93,44,100
-22548,93,41,100
-21212,93,44,101
-19805,95,44,101
-18460,93,41,99
-17151,96,41,100
-15850,93,41,100
-14550,95,43,100
-13250,95,42,101
-11950,92,43,100
-10650,93,42,99
-9349,93,43,100
-8026,95,42,100
-6724,94,42,101
-5354,92,44,100
-3996,94,44,101
-2690,94,42,99
-1388,95,43,101
-86,94,43,102
1574,93,43,105
2933,94,42,100
4237,95,42,100
5562,95,44,101
6893,94,42,101
8199,93,43,102
9503,93,41,100
11836,93,42,102
13163,94,42,101
14469,92,45,101
15774,94,42,100
17080,93,41,101
18386,93,43,100
19714,92,44,101
21020,95,43,100
22327,93,42,101
23633,94,44,100
24940,94,42,102
26629,93,42,103
27980,94,41,99
29287,94,42,101
30595,94,43,101
31936,93,44,102
-30914,94,43,100
-29563,95,44,102
-28232,96,42,100
-26888,94,42,101
-25543,93,42,100
-22750,93,42,101
-21361,95,42,100
-20045,94,43,101
-18733,95,43,101
-17423,95,42,102
-16093,94,44,99
-14793,94,44,100
-13493,93,43,99
-12193,94,42,100
-10892,93,42,101
-9592,94,43,100
-8214,95,43,100
-6910,94,43,100
-5609,94,43,100
-4308,93,42,101
-2984,92,41,101
-1316,94,43,100
18,92,43,100
1320,94,43,100
2622,93,43,100
3925,93,43,101
5228,94,41,101
6531,93,43,101
7835,94,43,100
9139,93,41,99
10465,94,42,100
11770,93,44,101
13074,95,43,99
14477,94,43,101
15829,93,43,102
17137,95,41,100
18442,93,42,101
19748,94,43,102
21055,94,43,101
22361,92,41,100
23991,93,43,102
25316,95,42,100
26623,93,42,101
27930,93,43,100
29238,93,41,100
30546,94,43,101
31971,94,42,102
-30871,93,43,100
-29225,95,41,101
-27857,94,41,101
-26205,93,44,100
-24806,93,44,99
-23461,94,45,101
-22127,94,44,100
-20813,95,42,100
-19501,92,43,103
-18190,93,44,100
-16883,95,43,101
-15583,94,42,100
-14283,93,42,101
-12960,94,42,102
-11660,94,42,101
-10359,92,44,101
-9058,94,42,103
-7757,96,43,100
-6456,93,43,101
-5155,94,43,100
-3853,94,41,100
-2551,93,43,102
-1249,94,43,102
87,95,43,101
1396,93,42,100
2702,94,40,101
4005,93,41,99
5308,95,43,103
6612,93,43,101
7915,93,44,100
9220,95,42,101
10524,93,41,102
11829,93,41,100
13157,93,43,101
14463,93,43,100
15768,93,41,100
17074,94,42,101
18380,94,42,100
19686,94,43,101
20993,94,41,102
22300,95,42,101
23607,93,44,101
24914,93,43,102
26287,96,42,101
27597,95,43,100
28905,94,42,100
30213,94,42,99
-31663,94,42,101
-30272,94,42,100
-28943,91,43,103
-27599,93,43,102
-26254,91,44,101
-24910,94,43,100
-23554,94,43,102
-22241,94,43,101
-20929,93,44,102
-19618,94,43,102
-18311,92,41,99
-17011,94,41,101
-15606,94,42,100
-14283,95,41,100
-12982,93,43,101
-11682,93,42,100
-10359,94,42,101
-9058,93,43,100
-7757,93,43,101
-6455,94,43,101
-5154,95,43,101
-3852,94,43,99
-1068,94,41,102
273,92,40,101
1575,94,43,102
2978,93,42,101
4351,94,43,101
5655,94,41,101
6958,94,43,101
8262,94,42,102
9591,93,43,101
10900,94,44,101
12204,92,43,102
13510,93,43,100
14816,94,41,101
16121,94,43,102
17449,93,42,102
18755,95,42,100
20062,93,42,99
21368,94,43,100
22675,95,43,100
23982,93,43,101
25289,94,41,100
26596,93,43,100
27904,93,44,100
29212,95,41,100
30542,94,42,101
-32345,94,43,100
-30977,92,42,100
-29639,93,42,101
-28294,93,41,100
-26949,93,42,101
-25606,92,42,101
-24272,92,44,101
-22958,94,42,99
-21646,93,42,100
-20314,93,42,101
-19006,94,42,101
-17706,94,43,102
-16406,93,42,103
-15106,92,42,100
-13805,93,44,100
-12505,94,44,101
-11204,94,43,101
-9903,93,44,102
-8602,94,44,101
-7278,93,43,100
-5944,93,43,100
-4620,93,44,99
-3318,93,42,101
-2016,95,44,100
-713,94,42,101
590,94,42,101
1893,93,42,103
3196,92,42,101
4500,93,42,101
6236,94,42,100
7587,92,43,100
8892,94,42,101
10196,94,43,101
11502,93,42,101
12808,93,42,101
14114,94,41,101
15419,93,42,102
16725,94,43,100
18133,94,43,100
19499,94,43,100
20805,94,43,101
22112,93,42,100
23419,92,43,102
24727,92,42,100
26034,93,43,100
27342,94,44,99
28650,94,42,100
31281,93,43,102
32638,92,43,101
-31547,94,41,100
-30202,96,43,101
-28857,95,43,100
-27514,94,42,102
-26086,95,42,99
-24727,94,43,102
-23415,95,43,103
-22104,93,42,99
-20782,94,43,101
-19477,94,42,100
-18155,93,42,100
-16855,94,43,101
-15554,94,42,101
-14254,94,43,100
-11954,95,43,100
-10608,96,43,100
-9307,93,43,101
-8006,93,43,99
-6704,93,43,99
-5402,95,44,101
-4078,94,42,101
-2775,95,44,100
-1473,93,42,102
-170,91,43,100
1133,94,42,100
2436,93,43,99
3770,93,42,100
5076,94,43,101
6818,94,42,99
8127,93,42,100
9453,92,43,102
10759,94,43,101
12065,95,44,99
13371,93,43,101
14676,92,42,101
15982,93,42,100
17289,94,41,101
20113,94,43,101
21455,95,43,101
22762,94,42,102
24091,94,43,100
25399,93,43,100
26706,92,43,100
28014,93,43,100
29394,94,43,101
32051,94,43,100
-32127,94,44,99
-30799,92,41,101
-29454,94,41,101
-28109,93,43,99
-26743,94,42,100
-25410,94,43,101
-24096,96,45,101
-22784,93,45,99
-21474,94,44,100
-20166,93,42,100
-18866,94,43,102
-17566,93,44,100
-16266,94,42,99
-14966,94,44,100

